epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.683,1.75627,2.61452,1.36939,0.53095,0.47148,0.44551,0.22726,1.45245,1.82788,1.35779,0.000415992,0.000415992,0.000415992
2,580.627,1.67619,1.85887,1.33546,0.63959,0.54975,0.5567,0.2905,1.45936,1.76677,1.32837,0.000667793,0.000667793,0.000667793
3,827.824,1.6385,1.70137,1.31582,0.6817,0.62003,0.63468,0.33587,1.41733,1.61557,1.30176,0.000754593,0.000754593,0.000754593
4,1083.89,1.59326,1.51281,1.2698,0.72422,0.67471,0.67716,0.37649,1.34646,1.44794,1.22854,0.0005075,0.0005075,0.0005075
5,1336.65,1.50695,1.37606,1.2258,0.7746,0.71533,0.72646,0.41532,1.29134,1.22534,1.19384,0.00026,0.00026,0.00026
